task,seed,rank,model_id,representation,score
BBBP,7,1,chemberta_77m,ChemBERTa-77M,0.9614
BBBP,7,2,molformer_xl,MoLFormer-XL,0.9547
BBBP,7,3,chemberta_zinc,ChemBERTa-ZINC,0.9529
BBBP,7,4,grover_large,GROVER Large,0.9254
BBBP,7,5,grover_base,GROVER Base,0.911
BBBP,7,6,rdkit2d,RDKit2D,0.909
BBBP,7,7,ecfp4,ECFP4,0.894
BBBP,7,8,unimol_v1,Uni-Mol v1,0.8837
BBBP,7,9,molclr_gin,MolCLR GIN,0.8179
BBBP,11,1,chemberta_zinc,ChemBERTa-ZINC,0.9513
BBBP,11,2,chemberta_77m,ChemBERTa-77M,0.9437
BBBP,11,3,molformer_xl,MoLFormer-XL,0.9418
BBBP,11,4,grover_base,GROVER Base,0.938
BBBP,11,5,grover_large,GROVER Large,0.9364
BBBP,11,6,rdkit2d,RDKit2D,0.9339
BBBP,11,7,ecfp4,ECFP4,0.8978
BBBP,11,8,unimol_v1,Uni-Mol v1,0.8906
BBBP,11,9,molclr_gin,MolCLR GIN,0.8376
BBBP,19,1,chemberta_77m,ChemBERTa-77M,0.9655
BBBP,19,2,chemberta_zinc,ChemBERTa-ZINC,0.9509
BBBP,19,3,molformer_xl,MoLFormer-XL,0.9501
BBBP,19,4,ecfp4,ECFP4,0.8867
BBBP,19,5,grover_large,GROVER Large,0.8727
BBBP,19,6,grover_base,GROVER Base,0.8634
BBBP,19,7,rdkit2d,RDKit2D,0.8428
BBBP,19,8,unimol_v1,Uni-Mol v1,0.8292
BBBP,19,9,molclr_gin,MolCLR GIN,0.813
BBBP,21,1,molformer_xl,MoLFormer-XL,0.9302
BBBP,21,2,chemberta_77m,ChemBERTa-77M,0.9259
BBBP,21,3,ecfp4,ECFP4,0.9025
BBBP,21,4,chemberta_zinc,ChemBERTa-ZINC,0.9021
BBBP,21,5,rdkit2d,RDKit2D,0.8783
BBBP,21,6,grover_large,GROVER Large,0.874
BBBP,21,7,unimol_v1,Uni-Mol v1,0.8601
BBBP,21,8,grover_base,GROVER Base,0.8304
BBBP,21,9,molclr_gin,MolCLR GIN,0.8214
BBBP,29,1,molformer_xl,MoLFormer-XL,0.9431
BBBP,29,2,chemberta_77m,ChemBERTa-77M,0.9389
BBBP,29,3,chemberta_zinc,ChemBERTa-ZINC,0.8834
BBBP,29,4,rdkit2d,RDKit2D,0.8712
BBBP,29,5,grover_large,GROVER Large,0.8514
BBBP,29,6,grover_base,GROVER Base,0.843
BBBP,29,7,ecfp4,ECFP4,0.8413
BBBP,29,8,unimol_v1,Uni-Mol v1,0.8309
BBBP,29,9,molclr_gin,MolCLR GIN,0.7577
BBBP,31,1,chemberta_77m,ChemBERTa-77M,0.9688
BBBP,31,2,molformer_xl,MoLFormer-XL,0.9665
BBBP,31,3,chemberta_zinc,ChemBERTa-ZINC,0.9609
BBBP,31,4,ecfp4,ECFP4,0.9579
BBBP,31,5,rdkit2d,RDKit2D,0.9558
BBBP,31,6,grover_large,GROVER Large,0.9525
BBBP,31,7,grover_base,GROVER Base,0.9482
BBBP,31,8,unimol_v1,Uni-Mol v1,0.9297
BBBP,31,9,molclr_gin,MolCLR GIN,0.8919
BBBP,37,1,chemberta_77m,ChemBERTa-77M,0.9326
BBBP,37,2,molformer_xl,MoLFormer-XL,0.9295
BBBP,37,3,chemberta_zinc,ChemBERTa-ZINC,0.9264
BBBP,37,4,rdkit2d,RDKit2D,0.8492
BBBP,37,5,ecfp4,ECFP4,0.846
BBBP,37,6,grover_large,GROVER Large,0.8379
BBBP,37,7,unimol_v1,Uni-Mol v1,0.8376
BBBP,37,8,grover_base,GROVER Base,0.8162
BBBP,37,9,molclr_gin,MolCLR GIN,0.8078
BBBP,42,1,chemberta_zinc,ChemBERTa-ZINC,0.9713
BBBP,42,2,molformer_xl,MoLFormer-XL,0.9541
BBBP,42,3,chemberta_77m,ChemBERTa-77M,0.9538
BBBP,42,4,grover_large,GROVER Large,0.934
BBBP,42,5,rdkit2d,RDKit2D,0.9227
BBBP,42,6,grover_base,GROVER Base,0.9182
BBBP,42,7,ecfp4,ECFP4,0.9141
BBBP,42,8,unimol_v1,Uni-Mol v1,0.909
BBBP,42,9,molclr_gin,MolCLR GIN,0.8839
BBBP,53,1,chemberta_77m,ChemBERTa-77M,0.9526
BBBP,53,2,chemberta_zinc,ChemBERTa-ZINC,0.9388
BBBP,53,3,molformer_xl,MoLFormer-XL,0.9327
BBBP,53,4,ecfp4,ECFP4,0.9078
BBBP,53,5,rdkit2d,RDKit2D,0.8949
BBBP,53,6,grover_large,GROVER Large,0.8936
BBBP,53,7,grover_base,GROVER Base,0.8848
BBBP,53,8,unimol_v1,Uni-Mol v1,0.8812
BBBP,53,9,molclr_gin,MolCLR GIN,0.8282
BBBP,61,1,chemberta_77m,ChemBERTa-77M,0.965
BBBP,61,2,chemberta_zinc,ChemBERTa-ZINC,0.9523
BBBP,61,3,molformer_xl,MoLFormer-XL,0.9523
BBBP,61,4,ecfp4,ECFP4,0.8762
BBBP,61,5,grover_base,GROVER Base,0.8757
BBBP,61,6,grover_large,GROVER Large,0.862
BBBP,61,7,rdkit2d,RDKit2D,0.8467
BBBP,61,8,unimol_v1,Uni-Mol v1,0.8298
BBBP,61,9,molclr_gin,MolCLR GIN,0.8137
BBBP,67,1,chemberta_77m,ChemBERTa-77M,0.9462
BBBP,67,2,molformer_xl,MoLFormer-XL,0.9374
BBBP,67,3,rdkit2d,RDKit2D,0.9372
BBBP,67,4,chemberta_zinc,ChemBERTa-ZINC,0.932
BBBP,67,5,grover_large,GROVER Large,0.9215
BBBP,67,6,grover_base,GROVER Base,0.9108
BBBP,67,7,unimol_v1,Uni-Mol v1,0.909
BBBP,67,8,ecfp4,ECFP4,0.8928
BBBP,67,9,molclr_gin,MolCLR GIN,0.8406
BBBP,73,1,chemberta_77m,ChemBERTa-77M,0.9668
BBBP,73,2,molformer_xl,MoLFormer-XL,0.9615
BBBP,73,3,chemberta_zinc,ChemBERTa-ZINC,0.9578
BBBP,73,4,grover_large,GROVER Large,0.9229
BBBP,73,5,rdkit2d,RDKit2D,0.917
BBBP,73,6,grover_base,GROVER Base,0.915
BBBP,73,7,unimol_v1,Uni-Mol v1,0.905
BBBP,73,8,ecfp4,ECFP4,0.9024
BBBP,73,9,molclr_gin,MolCLR GIN,0.8516
BBBP,79,1,chemberta_77m,ChemBERTa-77M,0.9424
BBBP,79,2,molformer_xl,MoLFormer-XL,0.9407
BBBP,79,3,ecfp4,ECFP4,0.9367
BBBP,79,4,rdkit2d,RDKit2D,0.9175
BBBP,79,5,chemberta_zinc,ChemBERTa-ZINC,0.9085
BBBP,79,6,grover_large,GROVER Large,0.8894
BBBP,79,7,grover_base,GROVER Base,0.8697
BBBP,79,8,molclr_gin,MolCLR GIN,0.856
BBBP,79,9,unimol_v1,Uni-Mol v1,0.8515
BBBP,89,1,chemberta_zinc,ChemBERTa-ZINC,0.928
BBBP,89,2,ecfp4,ECFP4,0.9222
BBBP,89,3,molformer_xl,MoLFormer-XL,0.9193
BBBP,89,4,chemberta_77m,ChemBERTa-77M,0.9135
BBBP,89,5,unimol_v1,Uni-Mol v1,0.8917
BBBP,89,6,rdkit2d,RDKit2D,0.8497
BBBP,89,7,grover_large,GROVER Large,0.8024
BBBP,89,8,grover_base,GROVER Base,0.7927
BBBP,89,9,molclr_gin,MolCLR GIN,0.7579
BBBP,97,1,molformer_xl,MoLFormer-XL,0.9653
BBBP,97,2,chemberta_77m,ChemBERTa-77M,0.9627
BBBP,97,3,chemberta_zinc,ChemBERTa-ZINC,0.9403
BBBP,97,4,rdkit2d,RDKit2D,0.9077
BBBP,97,5,ecfp4,ECFP4,0.8948
BBBP,97,6,unimol_v1,Uni-Mol v1,0.8948
BBBP,97,7,grover_large,GROVER Large,0.8841
BBBP,97,8,grover_base,GROVER Base,0.8762
BBBP,97,9,molclr_gin,MolCLR GIN,0.8675
BBBP,101,1,chemberta_77m,ChemBERTa-77M,0.9576
BBBP,101,2,molformer_xl,MoLFormer-XL,0.9549
BBBP,101,3,chemberta_zinc,ChemBERTa-ZINC,0.9545
BBBP,101,4,grover_base,GROVER Base,0.9349
BBBP,101,5,grover_large,GROVER Large,0.9338
BBBP,101,6,rdkit2d,RDKit2D,0.9129
BBBP,101,7,ecfp4,ECFP4,0.8953
BBBP,101,8,unimol_v1,Uni-Mol v1,0.8614
BBBP,101,9,molclr_gin,MolCLR GIN,0.7756
BBBP,109,1,chemberta_77m,ChemBERTa-77M,0.9477
BBBP,109,2,molformer_xl,MoLFormer-XL,0.9331
BBBP,109,3,chemberta_zinc,ChemBERTa-ZINC,0.9276
BBBP,109,4,ecfp4,ECFP4,0.8914
BBBP,109,5,rdkit2d,RDKit2D,0.858
BBBP,109,6,grover_base,GROVER Base,0.8551
BBBP,109,7,grover_large,GROVER Large,0.8514
BBBP,109,8,unimol_v1,Uni-Mol v1,0.8512
BBBP,109,9,molclr_gin,MolCLR GIN,0.8301
BBBP,127,1,molformer_xl,MoLFormer-XL,0.9512
BBBP,127,2,chemberta_77m,ChemBERTa-77M,0.9382
BBBP,127,3,chemberta_zinc,ChemBERTa-ZINC,0.8526
BBBP,127,4,grover_large,GROVER Large,0.8393
BBBP,127,5,grover_base,GROVER Base,0.8151
BBBP,127,6,rdkit2d,RDKit2D,0.8146
BBBP,127,7,unimol_v1,Uni-Mol v1,0.7775
BBBP,127,8,molclr_gin,MolCLR GIN,0.7754
BBBP,127,9,ecfp4,ECFP4,0.7051
BBBP,137,1,chemberta_77m,ChemBERTa-77M,0.9248
BBBP,137,2,ecfp4,ECFP4,0.918
BBBP,137,3,molformer_xl,MoLFormer-XL,0.9129
BBBP,137,4,chemberta_zinc,ChemBERTa-ZINC,0.9034
BBBP,137,5,unimol_v1,Uni-Mol v1,0.8751
BBBP,137,6,rdkit2d,RDKit2D,0.8381
BBBP,137,7,grover_large,GROVER Large,0.8287
BBBP,137,8,grover_base,GROVER Base,0.8274
BBBP,137,9,molclr_gin,MolCLR GIN,0.7696
BBBP,149,1,chemberta_zinc,ChemBERTa-ZINC,0.9462
BBBP,149,2,molformer_xl,MoLFormer-XL,0.9357
BBBP,149,3,chemberta_77m,ChemBERTa-77M,0.9098
BBBP,149,4,ecfp4,ECFP4,0.864
BBBP,149,5,unimol_v1,Uni-Mol v1,0.7957
BBBP,149,6,rdkit2d,RDKit2D,0.7748
BBBP,149,7,grover_base,GROVER Base,0.7367
BBBP,149,8,grover_large,GROVER Large,0.7353
BBBP,149,9,molclr_gin,MolCLR GIN,0.6599
ClinTox,7,1,chemberta_zinc,ChemBERTa-ZINC,0.995
ClinTox,7,2,molformer_xl,MoLFormer-XL,0.9772
ClinTox,7,3,chemberta_77m,ChemBERTa-77M,0.9731
ClinTox,7,4,grover_large,GROVER Large,0.9015
ClinTox,7,5,grover_base,GROVER Base,0.8723
ClinTox,7,6,rdkit2d,RDKit2D,0.8408
ClinTox,7,7,ecfp4,ECFP4,0.84
ClinTox,7,8,unimol_v1,Uni-Mol v1,0.7073
ClinTox,11,1,molformer_xl,MoLFormer-XL,1.0
ClinTox,11,2,chemberta_zinc,ChemBERTa-ZINC,0.9983
ClinTox,11,3,chemberta_77m,ChemBERTa-77M,0.9977
ClinTox,11,4,grover_base,GROVER Base,0.8835
ClinTox,11,5,rdkit2d,RDKit2D,0.8781
ClinTox,11,6,grover_large,GROVER Large,0.857
ClinTox,11,7,ecfp4,ECFP4,0.8456
ClinTox,11,8,unimol_v1,Uni-Mol v1,0.7704
ClinTox,19,1,molformer_xl,MoLFormer-XL,0.9606
ClinTox,19,2,chemberta_zinc,ChemBERTa-ZINC,0.9597
ClinTox,19,3,chemberta_77m,ChemBERTa-77M,0.9474
ClinTox,19,4,grover_base,GROVER Base,0.919
ClinTox,19,5,grover_large,GROVER Large,0.9086
ClinTox,19,6,rdkit2d,RDKit2D,0.9031
ClinTox,19,7,ecfp4,ECFP4,0.814
ClinTox,19,8,unimol_v1,Uni-Mol v1,0.7009
ClinTox,21,1,chemberta_zinc,ChemBERTa-ZINC,0.9854
ClinTox,21,2,chemberta_77m,ChemBERTa-77M,0.9786
ClinTox,21,3,molformer_xl,MoLFormer-XL,0.9638
ClinTox,21,4,grover_large,GROVER Large,0.8223
ClinTox,21,5,grover_base,GROVER Base,0.8036
ClinTox,21,6,ecfp4,ECFP4,0.7949
ClinTox,21,7,rdkit2d,RDKit2D,0.6899
ClinTox,21,8,unimol_v1,Uni-Mol v1,0.6271
ClinTox,29,1,chemberta_77m,ChemBERTa-77M,1.0
ClinTox,29,2,molformer_xl,MoLFormer-XL,1.0
ClinTox,29,3,chemberta_zinc,ChemBERTa-ZINC,0.9972
ClinTox,29,4,grover_large,GROVER Large,0.9026
ClinTox,29,5,grover_base,GROVER Base,0.8952
ClinTox,29,6,rdkit2d,RDKit2D,0.8793
ClinTox,29,7,unimol_v1,Uni-Mol v1,0.8434
ClinTox,29,8,ecfp4,ECFP4,0.8339
ClinTox,31,1,chemberta_zinc,ChemBERTa-ZINC,0.9939
ClinTox,31,2,chemberta_77m,ChemBERTa-77M,0.9932
ClinTox,31,3,molformer_xl,MoLFormer-XL,0.987
ClinTox,31,4,grover_large,GROVER Large,0.8707
ClinTox,31,5,rdkit2d,RDKit2D,0.8574
ClinTox,31,6,grover_base,GROVER Base,0.8536
ClinTox,31,7,ecfp4,ECFP4,0.7997
ClinTox,31,8,unimol_v1,Uni-Mol v1,0.7297
ClinTox,37,1,chemberta_zinc,ChemBERTa-ZINC,0.995
ClinTox,37,2,chemberta_77m,ChemBERTa-77M,0.9941
ClinTox,37,3,molformer_xl,MoLFormer-XL,0.9863
ClinTox,37,4,grover_base,GROVER Base,0.8279
ClinTox,37,5,grover_large,GROVER Large,0.8099
ClinTox,37,6,rdkit2d,RDKit2D,0.7955
ClinTox,37,7,ecfp4,ECFP4,0.7386
ClinTox,37,8,unimol_v1,Uni-Mol v1,0.7192
ClinTox,42,1,chemberta_zinc,ChemBERTa-ZINC,0.9851
ClinTox,42,2,chemberta_77m,ChemBERTa-77M,0.9751
ClinTox,42,3,molformer_xl,MoLFormer-XL,0.9718
ClinTox,42,4,grover_large,GROVER Large,0.8889
ClinTox,42,5,grover_base,GROVER Base,0.8879
ClinTox,42,6,rdkit2d,RDKit2D,0.8529
ClinTox,42,7,ecfp4,ECFP4,0.8482
ClinTox,42,8,unimol_v1,Uni-Mol v1,0.6755
ClinTox,53,1,chemberta_zinc,ChemBERTa-ZINC,0.9868
ClinTox,53,2,chemberta_77m,ChemBERTa-77M,0.9619
ClinTox,53,3,molformer_xl,MoLFormer-XL,0.9187
ClinTox,53,4,grover_base,GROVER Base,0.8286
ClinTox,53,5,grover_large,GROVER Large,0.8208
ClinTox,53,6,rdkit2d,RDKit2D,0.7147
ClinTox,53,7,ecfp4,ECFP4,0.6968
ClinTox,53,8,unimol_v1,Uni-Mol v1,0.6316
ClinTox,61,1,molformer_xl,MoLFormer-XL,0.9877
ClinTox,61,2,chemberta_77m,ChemBERTa-77M,0.9734
ClinTox,61,3,chemberta_zinc,ChemBERTa-ZINC,0.9718
ClinTox,61,4,grover_large,GROVER Large,0.852
ClinTox,61,5,grover_base,GROVER Base,0.8374
ClinTox,61,6,rdkit2d,RDKit2D,0.8218
ClinTox,61,7,ecfp4,ECFP4,0.7957
ClinTox,61,8,unimol_v1,Uni-Mol v1,0.7317
ClinTox,67,1,chemberta_zinc,ChemBERTa-ZINC,0.9917
ClinTox,67,2,molformer_xl,MoLFormer-XL,0.9884
ClinTox,67,3,chemberta_77m,ChemBERTa-77M,0.9788
ClinTox,67,4,grover_large,GROVER Large,0.8377
ClinTox,67,5,unimol_v1,Uni-Mol v1,0.8316
ClinTox,67,6,grover_base,GROVER Base,0.8176
ClinTox,67,7,rdkit2d,RDKit2D,0.7844
ClinTox,67,8,ecfp4,ECFP4,0.7747
ClinTox,73,1,chemberta_zinc,ChemBERTa-ZINC,0.9986
ClinTox,73,2,molformer_xl,MoLFormer-XL,0.9829
ClinTox,73,3,chemberta_77m,ChemBERTa-77M,0.9809
ClinTox,73,4,rdkit2d,RDKit2D,0.8767
ClinTox,73,5,grover_large,GROVER Large,0.8592
ClinTox,73,6,grover_base,GROVER Base,0.8011
ClinTox,73,7,ecfp4,ECFP4,0.72
ClinTox,73,8,unimol_v1,Uni-Mol v1,0.6364
ClinTox,79,1,molformer_xl,MoLFormer-XL,0.9975
ClinTox,79,2,chemberta_77m,ChemBERTa-77M,0.9936
ClinTox,79,3,chemberta_zinc,ChemBERTa-ZINC,0.9891
ClinTox,79,4,grover_large,GROVER Large,0.7662
ClinTox,79,5,grover_base,GROVER Base,0.7616
ClinTox,79,6,rdkit2d,RDKit2D,0.7213
ClinTox,79,7,unimol_v1,Uni-Mol v1,0.6829
ClinTox,79,8,ecfp4,ECFP4,0.608
ClinTox,89,1,chemberta_77m,ChemBERTa-77M,0.9385
ClinTox,89,2,molformer_xl,MoLFormer-XL,0.9172
ClinTox,89,3,chemberta_zinc,ChemBERTa-ZINC,0.9067
ClinTox,89,4,ecfp4,ECFP4,0.763
ClinTox,89,5,grover_large,GROVER Large,0.7279
ClinTox,89,6,unimol_v1,Uni-Mol v1,0.7111
ClinTox,89,7,grover_base,GROVER Base,0.6853
ClinTox,89,8,rdkit2d,RDKit2D,0.6723
ClinTox,97,1,molformer_xl,MoLFormer-XL,0.9898
ClinTox,97,2,chemberta_77m,ChemBERTa-77M,0.986
ClinTox,97,3,chemberta_zinc,ChemBERTa-ZINC,0.9845
ClinTox,97,4,grover_large,GROVER Large,0.9463
ClinTox,97,5,rdkit2d,RDKit2D,0.9271
ClinTox,97,6,grover_base,GROVER Base,0.9128
ClinTox,97,7,ecfp4,ECFP4,0.8171
ClinTox,97,8,unimol_v1,Uni-Mol v1,0.7505
ClinTox,101,1,molformer_xl,MoLFormer-XL,0.9731
ClinTox,101,2,chemberta_77m,ChemBERTa-77M,0.9669
ClinTox,101,3,chemberta_zinc,ChemBERTa-ZINC,0.9585
ClinTox,101,4,grover_large,GROVER Large,0.8525
ClinTox,101,5,rdkit2d,RDKit2D,0.8201
ClinTox,101,6,grover_base,GROVER Base,0.8179
ClinTox,101,7,ecfp4,ECFP4,0.7453
ClinTox,101,8,unimol_v1,Uni-Mol v1,0.7321
ClinTox,109,1,chemberta_zinc,ChemBERTa-ZINC,0.9937
ClinTox,109,2,molformer_xl,MoLFormer-XL,0.9881
ClinTox,109,3,chemberta_77m,ChemBERTa-77M,0.9776
ClinTox,109,4,grover_large,GROVER Large,0.8565
ClinTox,109,5,unimol_v1,Uni-Mol v1,0.8128
ClinTox,109,6,grover_base,GROVER Base,0.7844
ClinTox,109,7,rdkit2d,RDKit2D,0.766
ClinTox,109,8,ecfp4,ECFP4,0.5737
ClinTox,127,1,chemberta_77m,ChemBERTa-77M,0.9962
ClinTox,127,2,molformer_xl,MoLFormer-XL,0.9949
ClinTox,127,3,chemberta_zinc,ChemBERTa-ZINC,0.9942
ClinTox,127,4,grover_large,GROVER Large,0.9501
ClinTox,127,5,grover_base,GROVER Base,0.9433
ClinTox,127,6,ecfp4,ECFP4,0.9263
ClinTox,127,7,rdkit2d,RDKit2D,0.9221
ClinTox,127,8,unimol_v1,Uni-Mol v1,0.8428
ClinTox,137,1,chemberta_zinc,ChemBERTa-ZINC,0.991
ClinTox,137,2,chemberta_77m,ChemBERTa-77M,0.9892
ClinTox,137,3,molformer_xl,MoLFormer-XL,0.9858
ClinTox,137,4,rdkit2d,RDKit2D,0.8626
ClinTox,137,5,grover_large,GROVER Large,0.8216
ClinTox,137,6,ecfp4,ECFP4,0.8163
ClinTox,137,7,grover_base,GROVER Base,0.782
ClinTox,137,8,unimol_v1,Uni-Mol v1,0.7778
ClinTox,149,1,molformer_xl,MoLFormer-XL,0.9841
ClinTox,149,2,chemberta_77m,ChemBERTa-77M,0.9683
ClinTox,149,3,chemberta_zinc,ChemBERTa-ZINC,0.9657
ClinTox,149,4,grover_large,GROVER Large,0.91
ClinTox,149,5,rdkit2d,RDKit2D,0.8891
ClinTox,149,6,grover_base,GROVER Base,0.8781
ClinTox,149,7,unimol_v1,Uni-Mol v1,0.7966
ClinTox,149,8,ecfp4,ECFP4,0.6964
BACE,7,1,rdkit2d,RDKit2D,0.8458
BACE,7,2,grover_large,GROVER Large,0.8438
BACE,7,3,ecfp4,ECFP4,0.8382
BACE,7,4,molformer_xl,MoLFormer-XL,0.8367
BACE,7,5,grover_base,GROVER Base,0.8346
BACE,7,6,chemberta_77m,ChemBERTa-77M,0.8259
BACE,7,7,unimol_v1,Uni-Mol v1,0.8064
BACE,7,8,chemberta_zinc,ChemBERTa-ZINC,0.7706
BACE,7,9,molclr_gin,MolCLR GIN,0.755
BACE,11,1,grover_large,GROVER Large,0.8915
BACE,11,2,rdkit2d,RDKit2D,0.8798
BACE,11,3,ecfp4,ECFP4,0.8789
BACE,11,4,chemberta_zinc,ChemBERTa-ZINC,0.8601
BACE,11,5,grover_base,GROVER Base,0.8571
BACE,11,6,unimol_v1,Uni-Mol v1,0.855
BACE,11,7,chemberta_77m,ChemBERTa-77M,0.8306
BACE,11,8,molformer_xl,MoLFormer-XL,0.8275
BACE,11,9,molclr_gin,MolCLR GIN,0.7454
BACE,19,1,ecfp4,ECFP4,0.9325
BACE,19,2,molformer_xl,MoLFormer-XL,0.9223
BACE,19,3,grover_large,GROVER Large,0.9205
BACE,19,4,grover_base,GROVER Base,0.9079
BACE,19,5,molclr_gin,MolCLR GIN,0.8885
BACE,19,6,rdkit2d,RDKit2D,0.8854
BACE,19,7,chemberta_zinc,ChemBERTa-ZINC,0.8817
BACE,19,8,chemberta_77m,ChemBERTa-77M,0.8758
BACE,19,9,unimol_v1,Uni-Mol v1,0.8514
BACE,21,1,ecfp4,ECFP4,0.894
BACE,21,2,grover_large,GROVER Large,0.8837
BACE,21,3,rdkit2d,RDKit2D,0.8836
BACE,21,4,molformer_xl,MoLFormer-XL,0.8758
BACE,21,5,chemberta_77m,ChemBERTa-77M,0.8584
BACE,21,6,grover_base,GROVER Base,0.8472
BACE,21,7,unimol_v1,Uni-Mol v1,0.8325
BACE,21,8,molclr_gin,MolCLR GIN,0.7956
BACE,21,9,chemberta_zinc,ChemBERTa-ZINC,0.794
BACE,29,1,ecfp4,ECFP4,0.8705
BACE,29,2,unimol_v1,Uni-Mol v1,0.8576
BACE,29,3,molformer_xl,MoLFormer-XL,0.8451
BACE,29,4,grover_large,GROVER Large,0.8448
BACE,29,5,rdkit2d,RDKit2D,0.8414
BACE,29,6,chemberta_zinc,ChemBERTa-ZINC,0.8251
BACE,29,7,grover_base,GROVER Base,0.8235
BACE,29,8,chemberta_77m,ChemBERTa-77M,0.8083
BACE,29,9,molclr_gin,MolCLR GIN,0.7819
BACE,31,1,chemberta_zinc,ChemBERTa-ZINC,0.9135
BACE,31,2,ecfp4,ECFP4,0.8997
BACE,31,3,grover_large,GROVER Large,0.883
BACE,31,4,chemberta_77m,ChemBERTa-77M,0.8787
BACE,31,5,molformer_xl,MoLFormer-XL,0.8785
BACE,31,6,grover_base,GROVER Base,0.8655
BACE,31,7,unimol_v1,Uni-Mol v1,0.8584
BACE,31,8,rdkit2d,RDKit2D,0.8423
BACE,31,9,molclr_gin,MolCLR GIN,0.8337
BACE,37,1,rdkit2d,RDKit2D,0.9313
BACE,37,2,chemberta_zinc,ChemBERTa-ZINC,0.9241
BACE,37,3,ecfp4,ECFP4,0.9044
BACE,37,4,grover_base,GROVER Base,0.8946
BACE,37,5,grover_large,GROVER Large,0.8825
BACE,37,6,molformer_xl,MoLFormer-XL,0.8757
BACE,37,7,chemberta_77m,ChemBERTa-77M,0.8633
BACE,37,8,molclr_gin,MolCLR GIN,0.8611
BACE,37,9,unimol_v1,Uni-Mol v1,0.8502
BACE,42,1,ecfp4,ECFP4,0.8904
BACE,42,2,grover_base,GROVER Base,0.885
BACE,42,3,grover_large,GROVER Large,0.8817
BACE,42,4,chemberta_77m,ChemBERTa-77M,0.8391
BACE,42,5,rdkit2d,RDKit2D,0.8315
BACE,42,6,chemberta_zinc,ChemBERTa-ZINC,0.8265
BACE,42,7,molclr_gin,MolCLR GIN,0.8203
BACE,42,8,unimol_v1,Uni-Mol v1,0.8156
BACE,42,9,molformer_xl,MoLFormer-XL,0.8102
BACE,53,1,chemberta_zinc,ChemBERTa-ZINC,0.8738
BACE,53,2,ecfp4,ECFP4,0.8619
BACE,53,3,rdkit2d,RDKit2D,0.8613
BACE,53,4,grover_base,GROVER Base,0.8564
BACE,53,5,grover_large,GROVER Large,0.8448
BACE,53,6,chemberta_77m,ChemBERTa-77M,0.8244
BACE,53,7,unimol_v1,Uni-Mol v1,0.8083
BACE,53,8,molformer_xl,MoLFormer-XL,0.8051
BACE,53,9,molclr_gin,MolCLR GIN,0.746
BACE,61,1,grover_base,GROVER Base,0.8184
BACE,61,2,grover_large,GROVER Large,0.8159
BACE,61,3,ecfp4,ECFP4,0.7774
BACE,61,4,rdkit2d,RDKit2D,0.7774
BACE,61,5,molformer_xl,MoLFormer-XL,0.7653
BACE,61,6,chemberta_zinc,ChemBERTa-ZINC,0.7533
BACE,61,7,unimol_v1,Uni-Mol v1,0.7291
BACE,61,8,chemberta_77m,ChemBERTa-77M,0.7111
BACE,61,9,molclr_gin,MolCLR GIN,0.7033
BACE,67,1,chemberta_zinc,ChemBERTa-ZINC,0.8819
BACE,67,2,rdkit2d,RDKit2D,0.8724
BACE,67,3,chemberta_77m,ChemBERTa-77M,0.8479
BACE,67,4,grover_large,GROVER Large,0.8448
BACE,67,5,ecfp4,ECFP4,0.8424
BACE,67,6,molformer_xl,MoLFormer-XL,0.8155
BACE,67,7,unimol_v1,Uni-Mol v1,0.8147
