task,modality,comparison_model_id,comparison_representation,requested_n,median_effective_n,median_delta,central_95_low,central_95_high,central_95_width,sign_consistency,valid_repeats
BACE,molecule,molclr_gin,MolCLR GIN,114,115,0.0057,-0.026,0.0474,0.0733,0.6125,400
BACE,molecule,molclr_gin,MolCLR GIN,150,150,0.0062,-0.0009,0.0128,0.0137,0.945,400
BACE,molecule,unimol_v1,Uni-Mol v1,38,39,0.025,-0.1121,0.1282,0.2403,0.6775,400
BACE,molecule,unimol_v1,Uni-Mol v1,50,51,0.0201,-0.0789,0.0945,0.1734,0.65,400
BACE,molecule,unimol_v1,Uni-Mol v1,76,77,0.0126,-0.0547,0.0698,0.1245,0.6425,400
BACE,molecule,unimol_v1,Uni-Mol v1,100,101,0.0092,-0.0339,0.054,0.0879,0.6475,400
BACE,molecule,unimol_v1,Uni-Mol v1,114,115,0.01,-0.0224,0.0442,0.0666,0.7125,400
BACE,molecule,unimol_v1,Uni-Mol v1,150,150,0.0109,0.0037,0.0148,0.011,1.0,400
BACE,molecule,molformer_xl,MoLFormer-XL,38,39,0.0268,-0.1167,0.1262,0.2429,0.62,400
BACE,molecule,molformer_xl,MoLFormer-XL,50,51,0.0303,-0.0784,0.1122,0.1906,0.705,400
BACE,molecule,molformer_xl,MoLFormer-XL,76,77,0.0212,-0.0424,0.0871,0.1295,0.7325,400
BACE,molecule,molformer_xl,MoLFormer-XL,100,101,0.0166,-0.02,0.0616,0.0817,0.78,400
BACE,molecule,molformer_xl,MoLFormer-XL,114,115,0.0162,-0.0152,0.0514,0.0666,0.8275,400
BACE,molecule,molformer_xl,MoLFormer-XL,150,150,0.0163,0.0096,0.0215,0.0119,1.0,400
ESOL,molecule,grover_base,GROVER Base,28,28,-0.0035,-0.0376,0.0455,0.0831,0.41,400
ESOL,molecule,grover_base,GROVER Base,50,51,-0.0002,-0.0203,0.0251,0.0454,0.495,400
ESOL,molecule,grover_base,GROVER Base,57,57,0.0013,-0.0176,0.02,0.0376,0.585,400
ESOL,molecule,grover_base,GROVER Base,85,85,0.0018,-0.0103,0.0113,0.0216,0.6075,400
ESOL,molecule,grover_base,GROVER Base,100,101,0.0025,-0.0069,0.0078,0.0147,0.72,400
ESOL,molecule,rdkit2d,RDKit2D,28,28,0.0071,-0.0837,0.0824,0.1661,0.5875,400
ESOL,molecule,rdkit2d,RDKit2D,50,51,0.0102,-0.0373,0.0547,0.092,0.625,400
ESOL,molecule,rdkit2d,RDKit2D,57,57,0.0104,-0.0389,0.0474,0.0863,0.685,400
ESOL,molecule,rdkit2d,RDKit2D,85,86,0.0096,-0.0146,0.0297,0.0443,0.79,400
ESOL,molecule,rdkit2d,RDKit2D,100,101,0.0095,-0.0054,0.0214,0.0269,0.9075,400
ESOL,molecule,molformer_xl,MoLFormer-XL,28,29,0.0107,-0.0708,0.2252,0.2961,0.58,400
ESOL,molecule,molformer_xl,MoLFormer-XL,50,51,0.0094,-0.0483,0.1074,0.1557,0.5875,400
ESOL,molecule,molformer_xl,MoLFormer-XL,57,58,0.0263,-0.0411,0.1024,0.1435,0.655,400
ESOL,molecule,molformer_xl,MoLFormer-XL,85,86,0.0265,-0.0264,0.0581,0.0845,0.775,400
ESOL,molecule,molformer_xl,MoLFormer-XL,100,100,0.0225,-0.0199,0.0407,0.0606,0.86,400
ESOL,molecule,unimol_v1,Uni-Mol v1,28,28,0.0229,-0.0828,0.132,0.2148,0.6875,400
ESOL,molecule,unimol_v1,Uni-Mol v1,50,50,0.0243,-0.0284,0.0746,0.103,0.7875,400
ESOL,molecule,unimol_v1,Uni-Mol v1,57,58,0.0227,-0.0249,0.0707,0.0955,0.83,400
ESOL,molecule,unimol_v1,Uni-Mol v1,85,85,0.0229,-0.0039,0.0473,0.0512,0.9525,400
ESOL,molecule,unimol_v1,Uni-Mol v1,100,101,0.0238,0.0058,0.036,0.0302,0.995,400
ESOL,molecule,chemberta_77m,ChemBERTa-77M,28,29,0.0523,-0.0261,0.3305,0.3566,0.89,400
ESOL,molecule,chemberta_77m,ChemBERTa-77M,50,51,0.0629,-0.0073,0.1698,0.1771,0.95,400
ESOL,molecule,chemberta_77m,ChemBERTa-77M,57,58,0.0669,-0.0025,0.1446,0.1471,0.9625,400
ESOL,molecule,chemberta_77m,ChemBERTa-77M,85,85,0.0669,0.0212,0.1073,0.0861,1.0,400
ESOL,molecule,chemberta_77m,ChemBERTa-77M,100,101,0.0679,0.0279,0.0875,0.0597,1.0,400
ESOL,molecule,chemberta_zinc,ChemBERTa-ZINC,28,29,0.0823,-0.0022,0.2428,0.245,0.97,400
ESOL,molecule,chemberta_zinc,ChemBERTa-ZINC,50,50,0.0721,0.0206,0.1654,0.1448,1.0,400
ESOL,molecule,chemberta_zinc,ChemBERTa-ZINC,57,57,0.0737,0.0274,0.1479,0.1206,1.0,400
ESOL,molecule,chemberta_zinc,ChemBERTa-ZINC,85,86,0.0755,0.0379,0.1121,0.0742,1.0,400
ESOL,molecule,chemberta_zinc,ChemBERTa-ZINC,100,101,0.0751,0.0493,0.0908,0.0415,1.0,400
ESOL,molecule,ecfp4,ECFP4,28,28,0.281,0.1152,0.592,0.4768,1.0,400
ESOL,molecule,ecfp4,ECFP4,50,50,0.3012,0.1748,0.4698,0.295,1.0,400
ESOL,molecule,ecfp4,ECFP4,57,58,0.3013,0.1891,0.4376,0.2485,1.0,400
ESOL,molecule,ecfp4,ECFP4,85,85,0.2996,0.2242,0.3684,0.1442,1.0,400
ESOL,molecule,ecfp4,ECFP4,100,100,0.2985,0.2323,0.346,0.1137,1.0,400
ESOL,molecule,molclr_gin,MolCLR GIN,28,28,0.2648,0.0213,0.5948,0.5735,0.99,400
ESOL,molecule,molclr_gin,MolCLR GIN,50,50,0.3038,0.1281,0.4932,0.3651,1.0,400
ESOL,molecule,molclr_gin,MolCLR GIN,57,58,0.3019,0.1573,0.465,0.3077,1.0,400
ESOL,molecule,molclr_gin,MolCLR GIN,85,86,0.3065,0.2077,0.387,0.1793,1.0,400
ESOL,molecule,molclr_gin,MolCLR GIN,100,101,0.3057,0.2468,0.3532,0.1063,1.0,400
Lipophilicity,molecule,grover_base,GROVER Base,50,50,-0.0037,-0.1197,0.1204,0.24,0.5325,400
Lipophilicity,molecule,grover_base,GROVER Base,100,100,-0.0049,-0.0722,0.073,0.1452,0.565,400
Lipophilicity,molecule,grover_base,GROVER Base,105,105,-0.0007,-0.0592,0.073,0.1322,0.5075,400
Lipophilicity,molecule,grover_base,GROVER Base,150,150,-0.0005,-0.0505,0.0574,0.1079,0.5075,400
Lipophilicity,molecule,grover_base,GROVER Base,210,210,-0.0009,-0.0387,0.0403,0.079,0.5225,400
Lipophilicity,molecule,grover_base,GROVER Base,250,250,-0.0029,-0.0297,0.029,0.0587,0.57,400
Lipophilicity,molecule,grover_base,GROVER Base,315,315,-0.0016,-0.0213,0.0183,0.0396,0.575,400
Lipophilicity,molecule,rdkit2d,RDKit2D,50,50,0.0813,-0.0804,0.3095,0.3899,0.8325,400
Lipophilicity,molecule,rdkit2d,RDKit2D,100,100,0.1013,-0.021,0.2652,0.2862,0.945,400
Lipophilicity,molecule,rdkit2d,RDKit2D,105,105,0.0944,-0.0021,0.2569,0.2591,0.97,400
Lipophilicity,molecule,rdkit2d,RDKit2D,150,150,0.1007,0.0159,0.1895,0.1736,0.9875,400
Lipophilicity,molecule,rdkit2d,RDKit2D,210,210,0.0995,0.033,0.1773,0.1443,1.0,400
Lipophilicity,molecule,rdkit2d,RDKit2D,250,250,0.1066,0.0496,0.1606,0.111,1.0,400
Lipophilicity,molecule,rdkit2d,RDKit2D,315,315,0.1097,0.0627,0.146,0.0833,1.0,400
Lipophilicity,molecule,unimol_v1,Uni-Mol v1,50,50,0.1516,-0.0349,0.4719,0.5068,0.94,400
Lipophilicity,molecule,unimol_v1,Uni-Mol v1,100,100,0.1647,0.0352,0.3798,0.3446,1.0,400
Lipophilicity,molecule,unimol_v1,Uni-Mol v1,105,105,0.163,0.0211,0.362,0.3408,0.9975,400
Lipophilicity,molecule,unimol_v1,Uni-Mol v1,150,150,0.1591,0.0563,0.3107,0.2544,1.0,400
Lipophilicity,molecule,unimol_v1,Uni-Mol v1,210,210,0.1763,0.0836,0.2917,0.2081,1.0,400
Lipophilicity,molecule,unimol_v1,Uni-Mol v1,250,250,0.183,0.0919,0.2577,0.1658,1.0,400
Lipophilicity,molecule,unimol_v1,Uni-Mol v1,315,315,0.178,0.1208,0.2263,0.1055,1.0,400
Lipophilicity,molecule,chemberta_77m,ChemBERTa-77M,50,50,0.1569,-0.016,0.453,0.4691,0.965,400
Lipophilicity,molecule,chemberta_77m,ChemBERTa-77M,100,100,0.1672,0.0272,0.3779,0.3507,0.99,400
Lipophilicity,molecule,chemberta_77m,ChemBERTa-77M,105,105,0.1735,0.0404,0.3575,0.3171,1.0,400
Lipophilicity,molecule,chemberta_77m,ChemBERTa-77M,150,150,0.1696,0.0656,0.3322,0.2667,1.0,400
Lipophilicity,molecule,chemberta_77m,ChemBERTa-77M,210,210,0.1745,0.0894,0.2736,0.1842,1.0,400
Lipophilicity,molecule,chemberta_77m,ChemBERTa-77M,250,250,0.1788,0.1067,0.2581,0.1514,1.0,400
Lipophilicity,molecule,chemberta_77m,ChemBERTa-77M,315,315,0.1792,0.1243,0.2242,0.0999,1.0,400
Lipophilicity,molecule,molformer_xl,MoLFormer-XL,50,50,0.1708,-0.018,0.5128,0.5308,0.95,400
Lipophilicity,molecule,molformer_xl,MoLFormer-XL,100,100,0.1699,0.0207,0.403,0.3823,0.995,400
Lipophilicity,molecule,molformer_xl,MoLFormer-XL,105,105,0.1677,0.0299,0.4112,0.3813,0.995,400
Lipophilicity,molecule,molformer_xl,MoLFormer-XL,150,150,0.1782,0.066,0.3304,0.2644,0.9975,400
Lipophilicity,molecule,molformer_xl,MoLFormer-XL,210,210,0.182,0.0862,0.2992,0.213,1.0,400
Lipophilicity,molecule,molformer_xl,MoLFormer-XL,250,250,0.1884,0.0966,0.2805,0.1839,1.0,400
Lipophilicity,molecule,molformer_xl,MoLFormer-XL,315,315,0.1881,0.1099,0.2378,0.1279,1.0,400
Lipophilicity,molecule,ecfp4,ECFP4,50,50,0.2077,-0.0318,0.5068,0.5386,0.955,400
Lipophilicity,molecule,ecfp4,ECFP4,100,100,0.1885,0.0577,0.3521,0.2944,0.9975,400
Lipophilicity,molecule,ecfp4,ECFP4,105,105,0.1947,0.0433,0.3556,0.3123,1.0,400
Lipophilicity,molecule,ecfp4,ECFP4,150,150,0.1942,0.1026,0.2989,0.1962,1.0,400
Lipophilicity,molecule,ecfp4,ECFP4,210,210,0.1917,0.1219,0.2785,0.1566,1.0,400
Lipophilicity,molecule,ecfp4,ECFP4,250,250,0.1966,0.1371,0.2526,0.1154,1.0,400
Lipophilicity,molecule,ecfp4,ECFP4,315,315,0.1923,0.1483,0.2299,0.0817,1.0,400
Lipophilicity,molecule,molclr_gin,MolCLR GIN,50,50,0.1913,0.0034,0.4066,0.4032,0.9775,400
Lipophilicity,molecule,molclr_gin,MolCLR GIN,100,100,0.1939,0.0463,0.3337,0.2873,0.995,400
Lipophilicity,molecule,molclr_gin,MolCLR GIN,105,105,0.2019,0.0629,0.3479,0.285,1.0,400
Lipophilicity,molecule,molclr_gin,MolCLR GIN,150,150,0.1888,0.0764,0.294,0.2176,1.0,400
Lipophilicity,molecule,molclr_gin,MolCLR GIN,210,210,0.1951,0.1218,0.2778,0.156,1.0,400
Lipophilicity,molecule,molclr_gin,MolCLR GIN,250,250,0.1903,0.1311,0.2623,0.1313,1.0,400
Lipophilicity,molecule,molclr_gin,MolCLR GIN,315,315,0.1898,0.1448,0.2404,0.0955,1.0,400
Lipophilicity,molecule,chemberta_zinc,ChemBERTa-ZINC,50,50,0.2423,0.0467,0.5403,0.4935,0.99,400
Lipophilicity,molecule,chemberta_zinc,ChemBERTa-ZINC,100,100,0.2412,0.1009,0.4314,0.3305,1.0,400
Lipophilicity,molecule,chemberta_zinc,ChemBERTa-ZINC,105,105,0.2293,0.0963,0.3901,0.2938,1.0,400
Lipophilicity,molecule,chemberta_zinc,ChemBERTa-ZINC,150,150,0.2337,0.1229,0.3661,0.2432,1.0,400
Lipophilicity,molecule,chemberta_zinc,ChemBERTa-ZINC,210,210,0.2319,0.1577,0.313,0.1553,1.0,400
Lipophilicity,molecule,chemberta_zinc,ChemBERTa-ZINC,250,250,0.2328,0.1674,0.3028,0.1354,1.0,400
Lipophilicity,molecule,chemberta_zinc,ChemBERTa-ZINC,315,315,0.2329,0.1826,0.2845,0.1019,1.0,400
CYP3A4,molecule,chemberta_77m,ChemBERTa-77M,34,34,-0.0421,-0.1506,0.0508,0.2014,0.7975,400
CYP3A4,molecule,chemberta_77m,ChemBERTa-77M,50,50,-0.04,-0.0889,0.0098,0.0987,0.9075,400
CYP3A4,molecule,chemberta_77m,ChemBERTa-77M,51,51,-0.0414,-0.0862,0.0157,0.1019,0.9075,400
CYP3A4,molecule,ecfp4,ECFP4,34,34,-0.0035,-0.1335,0.1182,0.2517,0.47,400
CYP3A4,molecule,ecfp4,ECFP4,50,50,0.0006,-0.0731,0.083,0.156,0.5025,400
CYP3A4,molecule,ecfp4,ECFP4,51,51,0.0016,-0.0689,0.0741,0.143,0.5225,400
CYP3A4,molecule,molclr_gin,MolCLR GIN,34,34,0.0207,-0.1281,0.1545,0.2826,0.59,400
CYP3A4,molecule,molclr_gin,MolCLR GIN,50,50,0.0163,-0.0668,0.0892,0.156,0.6375,400
CYP3A4,molecule,molclr_gin,MolCLR GIN,51,51,0.0131,-0.0663,0.0936,0.1599,0.6575,400
CYP3A4,molecule,grover_large,GROVER Large,34,34,0.0313,-0.0477,0.1158,0.1636,0.7725,400
CYP3A4,molecule,grover_large,GROVER Large,50,50,0.0287,-0.0175,0.0773,0.0948,0.8725,400
CYP3A4,molecule,grover_large,GROVER Large,51,51,0.0285,-0.0196,0.0715,0.0911,0.88,400
CYP3A4,molecule,chemberta_zinc,ChemBERTa-ZINC,34,34,0.0231,-0.0946,0.1562,0.2508,0.63,400
CYP3A4,molecule,chemberta_zinc,ChemBERTa-ZINC,50,50,0.0312,-0.0544,0.0938,0.1482,0.76,400
CYP3A4,molecule,chemberta_zinc,ChemBERTa-ZINC,51,51,0.0316,-0.041,0.0988,0.1397,0.7775,400
CYP3A4,molecule,molformer_xl,MoLFormer-XL,34,34,0.0314,-0.1037,0.1462,0.25,0.6875,400
CYP3A4,molecule,molformer_xl,MoLFormer-XL,50,50,0.0353,-0.0479,0.1109,0.1588,0.81,400
CYP3A4,molecule,molformer_xl,MoLFormer-XL,51,51,0.0376,-0.0567,0.1072,0.1639,0.83,400
CYP3A4,molecule,grover_base,GROVER Base,34,34,0.0713,-0.02,0.1592,0.1792,0.935,400
CYP3A4,molecule,grover_base,GROVER Base,50,50,0.0753,0.0168,0.1332,0.1164,0.9975,400
